CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 4 classes 2
CANARY warmup 52.06 nodes 119
CANARY warmup 40.617 nodes 119
CANARY warmup 35.672 nodes 119
CANARY warmup 32.092 nodes 119
CANARY warmup 32.431 nodes 119
CANARY pre 30.217 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 885.778
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 933.113
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1004.061
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1380.438
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1116.937
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 32.886 nodes 119
