CONFIG 0 sorted False items 1 copies 1
CANARY warmup 101.242 nodes 119
CANARY warmup 44.45 nodes 119
CANARY warmup 36.549 nodes 119
CANARY warmup 32.353 nodes 119
CANARY warmup 31.213 nodes 119
CANARY pre 30.543 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 908.548
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1021.956
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 852.527
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1299.251
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 910.301
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 30.304 nodes 119
