CONFIG 0 sorted False items 1 copies 1
CANARY warmup 55.601 nodes 79
CANARY warmup 48.431 nodes 79
CANARY warmup 35.664 nodes 79
CANARY warmup 33.165 nodes 79
CANARY warmup 31.36 nodes 79
CANARY pre 30.066 nodes 79
SUM rf-clf@65537x28 9173145653/98243
ARM rf-clf@65537x28 368.518
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 369.193
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 371.656
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 881.529
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 411.214
MODEL rf-clf@65537x28 15624828276642988309
CANARY post 30.029 nodes 79
