CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 2 classes 2
CANARY warmup 37.485 nodes 119
CANARY warmup 31.929 nodes 119
CANARY warmup 31.269 nodes 119
CANARY warmup 31.188 nodes 119
CANARY warmup 30.548 nodes 119
CANARY pre 37.828 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1427.029
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1096.889
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 887.604
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 930.048
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1016.597
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 33.867 nodes 119
