CONFIG 0 sorted False items 1 copies 1
CANARY warmup 34.587 nodes 119
CANARY warmup 31.09 nodes 119
CANARY warmup 28.608 nodes 119
CANARY warmup 28.167 nodes 119
CANARY warmup 27.63 nodes 119
CANARY pre 27.997 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 926.013
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 870.402
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 831.003
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 829.224
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 847.819
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 27.079 nodes 119
