CONFIG 0 sorted False items 1 copies 1
CANARY warmup 34.696 nodes 119
CANARY warmup 29.457 nodes 119
CANARY warmup 28.771 nodes 119
CANARY warmup 28.372 nodes 119
CANARY warmup 28.308 nodes 119
CANARY pre 28.599 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1104.285
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1288.184
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1325.156
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1169.102
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1101.377
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 30.617 nodes 119
