CONFIG 0 sorted False items 1 copies 1
CANARY warmup 88.613 nodes 79
CANARY warmup 33.993 nodes 79
CANARY warmup 32.275 nodes 79
CANARY warmup 30.872 nodes 79
CANARY warmup 29.357 nodes 79
CANARY pre 29.803 nodes 79
SUM rf-clf@65537x28 9173145653/98243
ARM rf-clf@65537x28 387.493
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 360.539
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 350.979
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 370.031
MODEL rf-clf@65537x28 15624828276642988309
ARM rf-clf@65537x28 412.796
MODEL rf-clf@65537x28 15624828276642988309
CANARY post 29.464 nodes 79
