CONFIG 0 sorted False items 1 copies 1
CANARY warmup 39.974 nodes 119
CANARY warmup 27.961 nodes 119
CANARY warmup 27.178 nodes 119
CANARY warmup 27.437 nodes 119
CANARY warmup 27.819 nodes 119
CANARY pre 27.131 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 886.444
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 885.255
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1257.184
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 862.821
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 885.791
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 30.152 nodes 119
