CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 41.028 nodes 119
CANARY warmup 31.404 nodes 119
CANARY warmup 31.415 nodes 119
CANARY warmup 32.032 nodes 119
CANARY warmup 31.922 nodes 119
CANARY pre 32.14 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1196.219
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1421.211
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1349.452
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1160.691
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1376.753
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 51.242 nodes 119
