CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 2 classes 2
CANARY warmup 55.085 nodes 119
CANARY warmup 46.523 nodes 119
CANARY warmup 35.891 nodes 119
CANARY warmup 33.589 nodes 119
CANARY warmup 31.536 nodes 119
CANARY pre 30.358 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 908.182
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 983.955
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1048.072
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1256.082
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1009.339
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 30.151 nodes 119
