CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 2 classes 2
CANARY warmup 37.534 nodes 119
CANARY warmup 32.358 nodes 119
CANARY warmup 32.537 nodes 119
CANARY warmup 32.3 nodes 119
CANARY warmup 33.585 nodes 119
CANARY pre 32.794 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1033.147
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1116.211
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 997.77
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1059.068
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1007.558
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 29.779 nodes 119
