CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 4 classes 2
CANARY warmup 38.663 nodes 119
CANARY warmup 34.043 nodes 119
CANARY warmup 33.347 nodes 119
CANARY warmup 34.001 nodes 119
CANARY warmup 34.234 nodes 119
CANARY pre 36.277 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1112.558
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1014.705
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1012.554
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1043.811
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1006.653
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 30.89 nodes 119
