CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 2 classes 2
CANARY warmup 54.436 nodes 119
CANARY warmup 45.183 nodes 119
CANARY warmup 47.921 nodes 119
CANARY warmup 52.02 nodes 119
CANARY warmup 50.445 nodes 119
CANARY pre 54.159 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1694.249
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1714.13
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1620.59
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1572.309
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1532.361
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 64.839 nodes 119
