CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 59.332 nodes 119
CANARY warmup 78.754 nodes 119
CANARY warmup 53.413 nodes 119
CANARY warmup 46.336 nodes 119
CANARY warmup 48.995 nodes 119
CANARY pre 48.566 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1834.181
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2223.913
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1955.914
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1802.816
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1757.157
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 56.528 nodes 119
