CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 40.881 nodes 119
CANARY warmup 35.783 nodes 119
CANARY warmup 36.82 nodes 119
CANARY warmup 37.352 nodes 119
CANARY warmup 37.864 nodes 119
CANARY pre 38.554 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1415.402
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1438.449
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1726.019
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1901.646
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1917.162
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 56.916 nodes 119
