CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 87.289 nodes 119
CANARY warmup 46.199 nodes 119
CANARY warmup 37.606 nodes 119
CANARY warmup 34.407 nodes 119
CANARY warmup 32.462 nodes 119
CANARY pre 34.072 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1264.697
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1192.198
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1293.16
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1186.947
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1193.177
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 33.517 nodes 119
