CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 4 classes 2
CANARY warmup 59.485 nodes 119
CANARY warmup 52.171 nodes 119
CANARY warmup 50.555 nodes 119
CANARY warmup 71.46 nodes 119
CANARY warmup 45.162 nodes 119
CANARY pre 51.52 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1458.154
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1789.626
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1915.316
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1714.538
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1732.768
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 57.54 nodes 119
