CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 43.218 nodes 119
CANARY warmup 37.842 nodes 119
CANARY warmup 36.995 nodes 119
CANARY warmup 39.49 nodes 119
CANARY warmup 37.367 nodes 119
CANARY pre 37.949 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1592.614
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1658.132
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1734.026
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1628.359
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1696.534
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 37.056 nodes 119
