CONFIG 1 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 42.555 nodes 119
CANARY warmup 37.546 nodes 119
CANARY warmup 38.498 nodes 119
CANARY warmup 37.536 nodes 119
CANARY warmup 38.069 nodes 119
CANARY pre 35.828 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1589.52
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1906.096
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1653.128
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1575.794
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1705.079
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 36.529 nodes 119
