CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 61.386 nodes 119
CANARY warmup 53.65 nodes 119
CANARY warmup 52.394 nodes 119
CANARY warmup 53.128 nodes 119
CANARY warmup 51.825 nodes 119
CANARY pre 58.406 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1776.336
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2034.399
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2067.922
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1839.734
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1838.631
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 59.704 nodes 119
