CONFIG 0 sorted False items 1 copies 1
HIST_COLUMNS 0 classes 2
CANARY warmup 48.421 nodes 119
CANARY warmup 38.398 nodes 119
CANARY warmup 38.054 nodes 119
CANARY warmup 41.764 nodes 119
CANARY warmup 41.126 nodes 119
CANARY pre 48.089 nodes 119
SUM rf-clf@262145x28 36702324509/130929
ARM rf-clf@262145x28 1804.448
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2036.75
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2130.203
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 2495.138
MODEL rf-clf@262145x28 7707942827369392417
ARM rf-clf@262145x28 1820.785
MODEL rf-clf@262145x28 7707942827369392417
CANARY post 57.293 nodes 119
