# our_file	upstream_file	status	notes
# STATUS VOCABULARY, added 2026-08-31. The tree had no definition of these words anywhere,
# which is how this column drifted; every relabel below carries its evidence in the notes.
#   transliterated  control flow, loop structure and arithmetic follow the upstream statement by
#                   statement. A reader could diff the two mentally. Syntax differs, program does not.
#   reimplemented   same algorithm and same observable semantics, materially different program: a
#                   different parallel decomposition, the host/device split moved, a reduction
#                   re-ordered or pinned, or an upstream cub/thrust/cuBLAS/raft call replaced by our
#                   own code.
#   partial         only some of the upstream file is present; the notes say what is missing.
#   no-upstream     nothing upstream corresponds to this file. Older rows still spell this
#                   `mojo-only` / `mojo_only`; those were not touched by this pass.
# THE UPSTREAM SITUATION IS MIXED AND THIS FILE IS HONEST PER ROW. cuML at 265b9da (upstream/cuml-v26.08.00) HAS kernel_ridge and it is PURE PYTHON over cupy -- python/cuml/cuml/kernel_ridge/kernel_ridge.py, no cpp/src/kernel_ridge/ at this pin -- so the whole algorithm is readable and is transliterated. cuML has NO Nystroem and NO RBFSampler: `grep -rn 'Nystroem|RBFSampler' upstream/cuml-v26.08.00` returns NOTHING, and neither does cuVS. So for those two estimators NO UPSTREAM EXISTS IN THE PINNED CHECKOUTS and scikit-learn (upstream/scikit-learn at 77def0e) is ORACLE-ONLY, never a port target: nothing in kernel_methods/impl/ is transliterated from it.
# THE KERNELS THEMSELVES DO HAVE AN UPSTREAM. cuVS at 6ba2ce2 ships cpp/src/distance/detail/kernels/kernel_matrices.cu with four kernel types. svm/impl/distance/kernel_matrices.mojo already mirrors its LINEAR and RBF halves and refuses POLYNOMIAL and TANH by name; this lane completes the mirror for the two it refuses, BESIDE ITS OWN CALLER, because svm/ is not this lane's to edit (DEVIATION 1664). cuVS has no laplacian kernel; cuML's is Python over pairwise_distances(metric='manhattan') and that distance is already ported at kde/impl/distance/ (DEVIATION 1665).
# WHICH CLOSED LIBRARY CALL EACH ENTRY POINT REPLACES, stated because archive/reference/VENDOR_LIBS.md requires it of a substitution: kernel_ridge_solve <- cupyx.lapack.posv = cusolverDnpotrf + cusolverDnpotrs, reached through cholesky/'s pinned potrf_lower and cho_solve; the Nystroem eigenstep <- xp.linalg.svd = cusolverDngesvd, reached through decomposition/'s Jacobi (DEVIATION 1667); every matrix product <- cp.dot / cublasSgemm, reached through gemm/'s identical_gemm_into under profile mojolearn.identical.gemm.fp32.v1.
impl/kernel_ridge/kernel_ridge.mojo	cuml python/cuml/cuml/kernel_ridge/kernel_ridge.py (26.08) :26-88 and :285-349	reimplemented	_solve_cholesky_kernel's one_alpha arm branch for branch, _safe_solve, and predict. Their float64 widening at :53 cannot exist on a column with no device float64 (1661); their least-squares fallback at :26-44 is NOT ported and a failed factorization RAISES BY NAME with alpha as the closure (1662); their per-target alpha arm at :74 and their sample_weight arm at :59 are NOT ported (NOT_IMPLEMENTED.tsv). alpha IS the ridge and the Cholesky profile's jitter is +0.0 (1660, the lane's headline). The diagonal add is this lane's own kernel rather than cholesky/'s add_jitter, because add_jitter refuses any value outside its profile's two and alpha is a caller's free parameter (1685)  ||  RELABELLED 2026-08-31 (audit): REIMPLEMENTED, not transliterated -- their float64 widening at kernel_ridge.py:53 has no device counterpart (DEVIATION 1661, :22) and their cusolver least-squares fallback (:44-47) is not ported. DEVIATION LIST CORRECTED: the file records 1635, 1637, 1660, 1661, 1662, 1681, 1682, 1685, 1687. 1680 is NOT in this file (it is kernel_methods/estimator.mojo:342) and 1687 was missing.
impl/distance/kernel_matrices.mojo	cuvs cpp/src/distance/detail/kernels/kernel_matrices.cu (26.08) :18-92, :136-190	reimplemented	polynomial_kernel_nopad and tanh_kernel_nopad, the two epilogues svm/impl/distance/kernel_matrices.mojo refuses by name. A SECOND PARTIAL MIRROR OF ONE UPSTREAM FILE and neither half is complete on its own (1664). Their pow(base, exponent) becomes an ASCENDING REPEATED PRODUCT at an integer degree and a non-integer degree RAISES, because identical_pow is exp(p log x) and returns NaN on the negative bases a polynomial kernel routinely produces (1663). Their padded arms (:47, :84) are NOT ported: nothing in this tree stores a kernel matrix with a leading dimension  ||  RELABELLED 2026-08-31 (audit): REIMPLEMENTED, not transliterated -- a SECOND PARTIAL MIRROR of one upstream file, neither half complete on its own (DEVIATION 1664, :19-21), and raft::linalg::rowNorm is written out at the call site rather than called.
impl/random/rng_device.mojo	raft cpp/include/raft/random/detail/rng_device.cuh (26.08) :481-487 and :133-146	transliterated	next_float and box_muller_transform, the two RAFT functions core/philox.mojo does not carry -- it ports next_u32, next_u64, next_double and the Lemire uniformInt because those are what cuML's Random Forest reaches. A THIRD PARTIAL MIRROR of one upstream header alongside core/philox.mojo and resample/checks/index_map.mojo. THE RIGHT LONG-TERM HOME FOR BOTH IS core/philox.mojo and this lane must not move them there. Their log(0) is unguarded and returns +inf; ours substitutes 2^-24, the smallest value next_float itself can return (1676)  ||  DEVIATION LIST CORRECTED 2026-08-31: the file records 1676 AND 1693; this row cited only 1676. Status stands: the XORWOW/Philox arithmetic is transcribed constant for constant.
checks/kernel_matrix.mojo	none (a dispatcher over four files this lane does not own)	mojo-only, with DEVIATIONS 1665, 1666, 1686	Routes five kernels: LINEAR and RBF to svm/impl/distance/kernel_matrices.mojo::kernel_op unchanged, POLYNOMIAL and SIGMOID to the SAME kernel_op at a LINEAR KernelParams for the dot plus this lane's ported epilogue, LAPLACIAN to kde/impl/distance/distance.mojo::pairwise_distance at DIST_L1 plus a four-token exp epilogue (1665). No second spelling of a matrix product exists in kernel_methods/. Records which of the two upstream RBFs is computed and what its expanded form costs on the diagonal (1666). Every host refusal (1686). NAME COLLIDES with checks/kernel_matrix.mojo at the repository root, which is the per-vendor tunables matrix and is unrelated
checks/random_features.mojo	none	mojo-only, with DEVIATIONS 1671, 1672, 1675, 1677, 1678, 1679	WHERE in Philox's counter space each draw is taken, and nothing else: the transform is in impl/random/, the position map and the derived key are resample/checks/index_map.mojo's and are CALLED. Nystroem's basis is a rank prefix over position-mapped 64-bit keys, not a Fisher-Yates over a stream (1671), bounded and refused above KM_MAX_BASIS_POOL (1672). RBFSampler's normals are RAFT's Box-Muller, not numpy's ziggurat, so no bit comparison with scikit-learn is possible and none is attempted (1675). One pair serves two components (1677). The three host constants are computed once (1678). The Philox kind-byte namespace is SHARED with resample/ and the coupling is named (1679)
checks/km_sabotage.mojo	none	mojo-only, DEVIATION 1687	Copies of six kernels with thirteen arms, selected at RUN TIME through the sabotage argument. Same construction as cholesky/checks/chol_sabotage.mojo. Never reached at KMSAB_NONE by any driver, by estimator.mojo or by the card. ONE COPY IS OF A KERNEL IN ANOTHER LANE (svm's RBF epilogue) and KMSAB_COPY_ONLY plus check_km_sabotage_copies_agree exist so that copy's staleness cannot be mistaken for an arm's effect
checks/km_oracle.mojo	none	mojo-only	Four references, each answering a different question: the float64 UNEXPANDED mathematical kernel, a float32 second spelling of the device path (over gemm/checks/gemm_oracle.mojo::gemm_oracle, CALLED), the float64 Nystroem (over decomposition/checks/jacobi_eigh.mojo::jacobi_eigh, CALLED), and the float64 ridge solve (over cholesky/checks/cholesky_oracle.mojo's two reference functions, CALLED). No float64 Cholesky and no float64 Jacobi is written here
checks/km_fixture.mojo	none	mojo-only	Five data sets. One is EXACT end to end and hand-derivable (disjoint row supports, a diagonal linear Gram with power-of-four entries and four-way eigenvalue ties); four are hashed bit patterns with no host float arithmetic performed on them. Imports chol_mix64, bits_value and exact_offdiag from cholesky/checks/cholesky_fixture.mojo rather than making a FIFTH copy of splitmix64, which pays down a debt that file names in its own header
checks/km_check.mojo	none	mojo-only	Eighteen gates and thirteen run-time sabotage arms; see kernel_methods/README.md
estimator.mojo	sklearn/kernel_ridge.py and sklearn/kernel_approximation.py (SEMANTICS AND ORACLE ONLY, never transliterated)	mojo-only, with DEVIATIONS 1667, 1668, 1669, 1670, 1673, 1674, 1684, 1688, 1689	The three host-visible surfaces. Nystroem follows sklearn's fit step for step but substitutes decomposition/'s Jacobi for xp.linalg.svd (1667) and CALLS decomposition/impl/linalg/detail/pca.mojo::sign_flip_kernel for the eigenvector sign rather than inventing one (1668). The eigenvalue order is DESCENDING with an ascending-index tie break and is a SUMMATION ORDER (1669); their clip(S, 1e-12) is copied by value (1670); n_components > n_samples RAISES where theirs warns and clamps (1673); the embedding is @ normalization.T and the transpose is not free because normalization is not bitwise symmetric (1674). X is uploaded twice for a training Gram because Mojo refuses one buffer as two mutable kernel arguments (1684). The order and the rank pass run on the HOST, O(q^2), never O(n_samples * n_features) (1688). The column scaling is a DIVIDE by sqrt(s), never a multiply by a reciprocal (1689)
